DateTime,averageSpeed,is_festive,is_weekend
2025-06-24 09:16:00,28.00039,0,0
2025-06-24 09:26:00,27.70399,0,0
2025-06-24 09:36:00,27.975817,0,0
2025-06-24 09:46:00,28.095499,0,0
2025-06-24 09:56:00,28.123533,0,0
2025-06-24 10:06:00,28.00039,0,0
2025-06-24 10:16:00,28.095499,0,0
2025-06-24 10:26:00,27.948164,0,0
2025-06-24 10:36:00,28.104527,0,0
2025-06-24 10:46:00,28.084837,0,0
2025-06-24 10:56:00,28.084837,0,0
2025-06-24 11:06:00,28.135517,0,0
2025-06-24 11:15:00,28.1121,0,0
2025-06-24 11:26:00,28.095499,0,0
2025-06-24 11:36:00,28.022112,0,0
2025-06-24 11:46:00,28.136967,0,0
2025-06-24 11:56:00,28.095499,0,0
2025-06-24 12:06:00,28.084837,0,0
2025-06-24 12:16:00,27.975817,0,0
2025-06-24 12:26:00,28.118385,0,0
2025-06-24 12:36:00,27.917192,0,0
2025-06-24 12:46:00,28.041204,0,0
2025-06-24 12:56:00,28.123533,0,0
2025-06-24 13:06:00,28.104527,0,0
2025-06-24 13:16:00,28.00039,0,0
2025-06-24 13:26:00,27.801945,0,0
2025-06-24 13:36:00,28.022112,0,0
2025-06-24 13:46:00,28.057886,0,0
2025-06-24 13:56:00,27.844332,0,0
2025-06-24 14:06:00,28.1121,0,0
2025-06-24 14:16:00,28.057886,0,0
2025-06-24 14:26:00,27.917192,0,0
2025-06-24 14:36:00,28.104527,0,0
2025-06-24 14:46:00,28.1121,0,0
2025-06-24 14:58:00,28.041204,0,0
2025-06-24 15:06:00,27.58676,0,0
2025-06-24 15:16:00,28.123533,0,0
2025-06-24 15:25:00,27.70399,0,0
2025-06-24 15:45:00,28.057886,0,0
2025-06-24 15:56:00,27.755249,0,0
2025-06-24 16:06:00,28.022112,0,0
2025-06-24 16:16:00,28.072363,0,0
2025-06-24 16:26:00,28.095499,0,0
2025-06-24 16:36:00,28.057886,0,0
2025-06-24 16:46:00,28.127687,0,0
2025-06-24 16:56:00,27.917192,0,0
2025-06-24 17:06:00,28.084837,0,0
2025-06-24 17:16:00,28.118385,0,0
2025-06-24 17:26:00,28.118385,0,0
2025-06-24 17:36:00,28.095499,0,0
2025-06-24 17:46:00,28.072363,0,0
2025-06-24 17:56:00,28.136967,0,0
2025-06-24 18:06:00,28.1121,0,0
2025-06-24 18:16:00,28.123533,0,0
2025-06-24 18:26:00,28.1121,0,0
2025-06-24 18:36:00,28.084837,0,0
2025-06-24 18:45:00,28.041204,0,0
2025-06-24 18:55:00,28.136967,0,0
2025-06-24 19:05:00,28.138725,0,0
2025-06-24 19:15:00,28.123533,0,0
2025-06-24 19:25:00,28.136967,0,0
2025-06-24 19:35:00,28.133558,0,0
2025-06-24 19:45:00,28.138725,0,0
2025-06-24 19:55:00,28.084837,0,0
2025-06-24 20:05:00,28.13963,0,0
2025-06-24 20:15:00,28.138725,0,0
2025-06-24 20:25:00,28.138725,0,0
2025-06-24 20:35:00,28.138725,0,0
2025-06-24 20:45:00,28.133558,0,0
2025-06-24 20:55:00,28.138008,0,0
2025-06-24 21:05:00,28.138725,0,0
2025-06-24 21:15:00,28.136967,0,0
2025-06-24 21:25:00,28.136967,0,0
2025-06-24 21:35:00,28.13919,0,0
2025-06-24 21:45:00,28.13973,0,0
2025-06-24 21:55:00,28.133558,0,0
2025-06-24 22:10:00,28.139473,0,0
2025-06-24 22:15:00,28.138008,0,0
2025-06-24 22:25:00,28.139738,0,0
